category,equipment_required,muscle,name
Strength,Other,Quadriceps,Trap Bar Deadlift
Strength,Other,Triceps,Ring Dips
Strength,Other,Triceps,Parallel Bar Dip
Strength,Machine,Quadriceps,Chair Squat
Strength,Body Only,Abdominals,3/4 Sit-Up
Strength,Other,Abdominals,Otis-Up
Strength,Body Only,Abductors,Clam
Strength,Machine,Quadriceps,Machine Squat
Strength,Barbell,Chest,Barbell Incline Bench Press Medium-Grip
Strength,Cable,Shoulders,Front Cable Raise
Strength,Body Only,Abdominals,Crunches
Strength,Dumbbell,Quadriceps,Dumbbell Rear Lunge
Strength,Dumbbell,Biceps,Alternate Incline Dumbbell Curl
Strength,Barbell,Hamstrings,Power Clean
Strength,Body Only,Lats,Wide-Grip Rear Pull-Up
Strength,Body Only,Shoulders,Handstand Push-Ups
Strength,Dumbbell,Biceps,Dumbbell Alternate Bicep Curl
Strength,Dumbbell,Biceps,One Arm Dumbbell Preacher Curl
Strength,Body Only,Triceps,Bench Dips
Strength,Dumbbell,Traps,Standing Dumbbell Upright Row
Strength,Kettlebells,Quadriceps,Goblet Squat
Strength,Kettlebells,Traps,Kettlebell Sumo High Pull
Cardio,None,Quadriceps,Trail Running/Walking
Powerlifting,Barbell,Lower Back,Deadlift with Bands
Olympic Weightlifting,Barbell,Hamstrings,Hang Snatch
Strength,Cable,Shoulders,External Rotation with Cable
Strength,Body Only,Chest,Incline Push-Up Medium
Strength,Cable,Chest,Incline Cable Chest Press
Strength,Kettlebells,Hamstrings,Lunge Pass Through
Strength,Cable,Lats,Rope Straight-Arm Pulldown
Strength,Body Only,Glutes,Step-up with Knee Raise
Strength,Barbell,Middle Back,Bent Over Barbell Row
Strength,Barbell,Quadriceps,Barbell Step Ups
Strength,Machine,Quadriceps,Smith Machine Squat
Strength,Dumbbell,Traps,Dumbbell Shrug
Strength,Cable,Biceps,Reverse Cable Curl
Strength,Machine,Calves,Seated Calf Raise
Strength,Machine,Traps,Calf-Machine Shoulder Shrug
Strength,Barbell,Calves,Rocking Standing Calf Raise
Strength,Machine,Calves,Calf Press On The Leg Press Machine
Strength,Dumbbell,Shoulders,Front Incline Dumbbell Raise
Strength,Barbell,Shoulders,Barbell Shoulder Press
Strength,Barbell,Triceps,Lying Close-Grip Barbell Triceps Extension Behind The Head
Strength,Barbell,Forearms,Seated Palm-Up Barbell Wrist Curl
Strength,Kettlebells,Shoulders,Two-Arm Kettlebell Military Press
Powerlifting,Barbell,Triceps,Bench Press - Powerlifting
Strength,Cable,Chest,Cable Chest Press
Strength,Dumbbell,Chest,Dumbbell Bench Press with Neutral Grip
Strength,Other,Lats,Rope Climb
Strength,Dumbbell,Biceps,Standing Concentration Curl
Strength,Barbell,Shoulders,Standing Bradford Press
Strength,Dumbbell,Shoulders,Dumbbell Rear Delt Row
Strength,Dumbbell,Forearms,Palms-Up Dumbbell Wrist Curl Over A Bench
Strength,Dumbbell,Abdominals,Dumbbell Side Bend
Strength,Dumbbell,Biceps,Incline Dumbbell Curl
Strength,Cable,Triceps,Cable Lying Triceps Extension
Strength,Barbell,Biceps,Close-Grip Standing Barbell Curl
Strength,Barbell,Triceps,Standing Overhead Barbell Triceps Extension
Strength,Kettlebells,Hamstrings,One-Arm Kettlebell Clean
Strength,Kettlebells,Shoulders,Kettlebell Turkish Get-Up (Squat style)
Powerlifting,Barbell,Lower Back,Deadlift with Chains
Strength,Cable,Abdominals,Rope Crunch
Strength,Machine,Chest,Leverage Incline Chest Press
Strength,Cable,Triceps,Triceps Overhead Extension with Rope
Strength,Body Only,Chest,Single-Arm Push-Up
Strength,Cable,Abdominals,Standing Rope Crunch
Strength,Cable,Chest,Single-Arm Cable Crossover
Strength,Body Only,Abdominals,Dead Bug
Strength,Other,Forearms,Standing Olympic Plate Hand Squeeze
Strength,Cable,Lats,Wide-Grip Lat Pulldown
Strength,Body Only,Abdominals,Crunch - Hands Overhead
Strength,Dumbbell,Biceps,Preacher Hammer Dumbbell Curl
Strength,Dumbbell,Biceps,Alternate Hammer Curl
