category,equipment_required,muscle,name
Plyometrics,Other,Adductors,Lateral Cone Hops
Plyometrics,Medicine Ball,Abdominals,Medicine Ball Full Twist
Plyometrics,Other,Quadriceps,Quick Leap
Plyometrics,Other,Quadriceps,Single-Leg Lateral Hop
Plyometrics,Other,Quadriceps,Single-Leg Stride Jump
Plyometrics,Body Only,Quadriceps,Star Jump
Plyometrics,Medicine Ball,Abdominals,Supine One-Arm Overhead Throw
Strength,Machine,Quadriceps,Leverage Deadlift
Strength,Other,Shoulders,Sled Overhead Backward Walk
Strength,Other,Shoulders,Sled Reverse Flye
Strength,Other,Middle Back,Sled Row
Strength,Other,Hamstrings,Platform Hamstring Slides
Strength,None,Hamstrings,Prone Manual Hamstring
Powerlifting,Barbell,Quadriceps,Speed Box Squat
Strength,Body Only,Glutes,Neck Bridge Supine
Plyometrics,Body Only,Quadriceps,Feet Jack
Cardio,Body Only,Quadriceps,Fast Kick With Arm Circles
Cardio,Body Only,Quadriceps,Football Up-Down
Plyometrics,Body Only,Quadriceps,Jump Lunge To Feet Jack
Cardio,Body Only,Quadriceps,Vertical Mountain Climber
Stretching,Body Only,Glutes,Seated Glute Stretch
Plyometrics,Body Only,Quadriceps,Slide Jump Shot
Cardio,Body Only,Quadriceps,High Knee Jog
Strongman,Barbell,Shoulders,Axle Clean And Press
Strength,Other,Shoulders,Suspended Back Fly
Strength,Barbell,Quadriceps,Front-To-Back Squat With Belt
Powerlifting,Bands,Chest,Bench Press With Short Bands
Strength,Barbell,Middle Back,Plate Row
Strength,Exercise Ball,Quadriceps,Bosu Ball Squat
Strength,Body Only,Abdominals,Partner Target Sit-Up
Strength,Body Only,Abdominals,Partner Lying Leg Raise With Throw Down
Strength,Bands,Middle Back,Partner Facing Plank With Band Row
Strength,Body Only,Abdominals,Partner Sit-Up With High-Five
Strength,Body Only,Abdominals,Partner Lying Leg Raise With Lateral Throw Down
Strength,Barbell,Forearms,Partner Suitcase Carry Competition
Stretching,Body Only,Hamstrings,Alternating Leg Swing
Stretching,Body Only,Abductors,Hip Circle
Strength,Bands,Quadriceps,Forward Band Walk
Olympic Weightlifting,Barbell,Shoulders,Tall Muscle Snatch
Strength,Other,Quadriceps,Barbell Squat To A Box
Strength,Other,Biceps,Suspended Curl
Strength,Other,Glutes,Suspended Hip Thrust
Strength,Other,Triceps,Suspended Triceps Press
Strength,Exercise Ball,Chest,Bosu Ball Push-Up
Stretching,Body Only,Hamstrings,Single-Leg Balance
Strength,Dumbbell,Shoulders,Half-kneeling Dumbbell Shoulder Press
Plyometrics,Body Only,Quadriceps,Ice Skater
Strength,Dumbbell,Forearms,Suitcase Dumbbell Carry
Strength,Barbell,Middle Back,Yates Row
Strength,Kettlebells,Quadriceps,Split Squat With Kettlebells
Plyometrics,Other,Lats,Burpee Pull-Up
Strength,Other,Lats,Negative Pull-Up
Strength,Body Only,Chest,Hand Release Push-Up
Strength,Body Only,Shoulders,Wall Walk
Strength,Dumbbell,Shoulders,Dumbbell Clean And Jerk
Strength,Other,Quadriceps,Walking Lunge With Overhead Weight
Strength,Other,Abdominals,Waiter's Carry
Stretching,Body Only,Hamstrings,High Kick
Stretching,Body Only,Hamstrings,Knee To Chest
Stretching,Body Only,Hamstrings,Hip Stretch With Twist
Strength,Other,Chest,Svend Press
Strength,Body Only,Chest,Wide-Hands Push-Up
Strength,Body Only,Chest,Dive Bomber Push-Up
Strength,Barbell,Quadriceps,Front Squat Push Press
Strength,Barbell,Quadriceps,Front Squat (Bodybuilder)
Strength,Barbell,Quadriceps,Front Squat (Clean Grip)
Strength,Other,Quadriceps,Single-Leg Squat To Box
Strength,Other,Quadriceps,Single-Leg Skater Squat
Strength,Body Only,Quadriceps,Wall Squat
Plyometrics,Body Only,Quadriceps,Pop Squat
Plyometrics,Other,Quadriceps,Trap Bar Jump
Strength,Other,Abdominals,Skin The Cat To Push-Up
Strength,Other,Chest,Weighted Push-Up
Strength,Dumbbell,Quadriceps,Dumbbell Lunge and Curl
Plyometrics,Dumbbell,Quadriceps,Dumbbell Jump Squat
Plyometrics,Dumbbell,Quadriceps,Lateral Hop Holding Dumbbells
Strength,Dumbbell,Quadriceps,Dumbbell Front Squat
Plyometrics,Dumbbell,Quadriceps,Lateral Hop 4 Times To Sprint
Strength,Other,Lats,L-Sit Chin-Up
Strength,Other,Triceps,Body Triceps Press Using Flat Bench
Strength,Other,Triceps,Russian Bar Dip
Plyometrics,Body Only,Quadriceps,Wide-Stance Jump Squat To Close-Stance
Plyometrics,Other,Chest,Bar Push-Up Smith Machine
Strength,Medicine Ball,Chest,Burpee To Medicine Ball Press
Strength,Medicine Ball,Abdominals,V-Sit Lying Down Ball Throw And Catch
Plyometrics,Body Only,Chest,Superman Push-Up
Strength,Barbell,Quadriceps,Barbell Front-To-Back Squat
Strength,Barbell,Biceps,Seated Straight-Bar Curl Superset
Strength,Other,Biceps,Hammer Plate Curl
Strength,Dumbbell,Quadriceps,Dumbbell Pistol Squat
Strength,Dumbbell,Quadriceps,Dumbbell Alternating Lunge
Strength,Body Only,Quadriceps,Side Lunge Touching Heel
Plyometrics,Body Only,Quadriceps,Jumping Knee Up Down
Plyometrics,Body Only,Quadriceps,Burpee Tuck Jump
Plyometrics,Body Only,Quadriceps,Wall Sprawl
Plyometrics,Body Only,Abdominals,Wall Mountain Climber
Strength,Body Only,Abdominals,Full Moon
Plyometrics,Medicine Ball,Quadriceps,Medicine Ball Ninja
Plyometrics,Kettlebells,Quadriceps,Kettlebell Fire Feet
Plyometrics,Body Only,Quadriceps,Reverse Burpee
Strength,Bands,Chest,Feet-Elevated TRX Push-Up
Strength,Body Only,Abdominals,Crab Toe Touch
Strength,Kettlebells,Quadriceps,Kettlebell Squat Clean
Plyometrics,Other,Quadriceps,Burpee Box Jump
